Location,Latitude,Longitude,Weather Forecast
"The Showbox, Seattle",47.6085136,-122.3394726,"Rain. Cloudy, with a low around 48. South southeast wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
"Climate Pledge Arena, Seattle",47.6219014,-122.353990491486,"Rain. Cloudy, with a low around 47. South wind around 8 mph. Chance of precipitation is 90%. New rainfall amounts less than a tenth of an inch possible."
"Seattle Art Museum, Seattle",47.6077008,-122.3385575,"Rain. Cloudy, with a low around 48. South southeast wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
"Elliott Bay Book Company, Seattle",47.6146657,-122.319677,"Rain. Cloudy, with a low around 46. South wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
"Moore Theatre, Seattle",47.6117307,-122.3414253,"Rain. Cloudy, with a low around 48. South southeast wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
"Dimitriou's Jazz Alley, Seattle",47.6148163,-122.339691,"Rain. Cloudy, with a low around 48. South southeast wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
"Funhouse, Seattle",Not Found,Not Found,Weather Not Found
"Paramount Theatre, Seattle",47.613244949999995,-122.33135603802069,"Rain. Cloudy, with a low around 46. South wind around 7 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
